[4S, 8C, 9H, TS, KC]         [2S, 3S, 5D, 7D, AC]        player2 win
[8S, TD, JS, QS, AS]         [3H, 4H, KD, KS, AC]        player2 win
[4H, 5D, 7D, 9H, TS]         [2H, 4C, 8C, 9C, QC]        player2 win
[2C, 4D, 7D, 9H, KS]         [4C, JS, QH, KD, AD]        player2 win
[9D, QD, KH, AD, AH]         [9H, JS, JC, JD, KD]        player2 win
[3C, 4S, 7S, 8S, TS]         [2S, 4D, 5C, 6H, 7C]        player1 win
[5C, 6D, 7S, JS, KD]         [2H, 6S, 8S, TD, QH]        player1 win
[6C, 6H, TC, TD, QH]         [2H, 4C, 8H, 9D, QC]        player1 win
[2H, 3D, 4D, 6H, TS]         [2C, 6S, 6C, 7H, 8S]        player2 win
[3S, 9H, 9D, JD, JH]         [2C, 3H, 6S, 8S, AH]        player1 win
[2C, 3H, 5S, 8C, QS]         [2S, 3C, 4S, 7D, AD]        player2 win
[5C, TS, QC, QH, AS]         [4S, 4C, 5H, 6S, JS]        player1 win
[4C, 5C, 6H, TD, JH]         [4H, JS, QS, KD, KH]        player2 win
[4D, 9H, TC, JC, KH]         [3C, 8D, 8H, 9D, KC]        player2 win
[2H, 8S, 9S, TC, AD]         [2C, 4H, 5C, 7H, TS]        player1 win
[2S, 4H, 5S, 6C, KS]         [7C, 8H, 9C, KD, AH]        player2 win
[3C, TS, TD, QH, QS]         [2C, 7D, 8D, JH, AH]        player1 win
[3H, 5D, 5S, KC, AC]         [2H, 4S, 4C, 7H, QS]        player1 win
[3D, 7D, JH, QC, KH]         [6D, 6C, TD, TH, KD]        player2 win
[5S, 6C, 8D, 9D, TH]         [6D, 7D, 8C, 9S, KH]        player2 win
[2S, 7S, JD, QS, QC]         [4S, 8D, JC, QH, KS]        player1 win
[5S, 7S, 9S, JD, KD]         [2D, 7C, 9C, JC, AD]        player2 win
[4S, 5H, 9C, JH, AH]         [2D, 5D, 6S, 7C, TD]        player1 win
[6C, 6S, 7H, 9C, KC]         [4H, 5S, TD, QD, KS]        player1 win
[2D, 6S, 8D, TH, KS]         [3S, 9H, TD, TS, JD]        player2 win
[4H, 5D, 9D, JS, KH]         [TC, TD, TS, JD, QC]        player2 win
[4C, QS, QD, AC, AD]         [2D, 3H, 6S, KC, AS]        player1 win
[3C, 4C, 7C, TD, QS]         [8D, 9C, KC, AS, AD]        player2 win
[6D, 7H, 8H, QC, KC]         [5S, 6S, 7S, 8C, AH]        player2 win
[3S, 6D, 9H, JC, AD]         [6S, JD, JH, KH, AS]        player2 win
[3D, 7H, TS, KS, AD]         [2D, JH, JS, QD, AC]        player2 win
[6D, 7C, 9C, TC, JD]         [3D, 3S, 6H, 6C, JC]        player2 win
[3S, JC, QC, KC, KD]         [2C, 8D, TS, QS, AH]        player1 win
[3D, 8H, JD, KD, AS]         [5C, 6C, 7C, 8C, QD]        player1 win
